Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy;Rozdzial
fixer;utrwalacz;Synonimy: fixative;[sound:quizlet-16914793080-front.mp3];[sound:quizlet-16914793080-back.mp3];"<img src=""quizlet-HWYEtFehyTrOw8tBsJwBIQ.jpg"">";Materiały budowlane
fixing;ustalenie;;[sound:quizlet-16914793081-front.mp3];[sound:quizlet-16914793081-back.mp3];"<img src=""quizlet-XHPkXTIM2xBlbJI9z2Q0ZA.jpg"">";Proces budowlany
flank;bok;Synonimy: side;[sound:quizlet-16914793082-front.mp3];[sound:quizlet-16914793082-back.mp3];"<img src=""quizlet-A0RHEtUkdeBtvIeT7h9Zaw.jpg"">";Elementy konstrukcyjne
flanking tower;baszta;;[sound:quizlet-16914793083-front.mp3];[sound:quizlet-16914793083-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075185_200114_1632_28.jpg'>;Budynki
flat roof;dach płaski;;[sound:quizlet-16914793084-front.mp3];[sound:quizlet-16914793084-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075186_200114_1647_40.jpg'>;Elementy konstrukcyjne
flex;zgiąć;;[sound:quizlet-16914793085-front.mp3];[sound:quizlet-16914793085-back.mp3];"<img src=""quizlet-nNpk7gf5uS9ZKtbnxV0ZQQ.jpg"">";Elementy konstrukcyjne
flies;nadscenie;;[sound:quizlet-16914793086-front.mp3];[sound:quizlet-16914793086-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075187_200115_1343_05.jpg'>;Budynki
flight of stairs;bieg schodowy;;[sound:quizlet-16914793087-front.mp3];[sound:quizlet-16914793087-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075188_200115_1156_33.jpg'>;Elementy konstrukcyjne
flint;krzemień;;[sound:quizlet-16914793088-front.mp3];[sound:quizlet-16914793088-back.mp3];"<img src=""quizlet-pPKVsZ.hOmZgUNK2Pq267w.jpg"">";Materiały budowlane
floor joist;belka podłogowa/legar;;[sound:quizlet-16914793089-front.mp3];[sound:quizlet-16914793089-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075189_200115_1254_06.jpg'>;Elementy konstrukcyjne
flooring;posadzka;;[sound:quizlet-16914793090-front.mp3];[sound:quizlet-16914793090-back.mp3];"<img src=""quizlet-ZHq3G1FnIvXeWKAbQ0IA.Q.jpg"">";Wykończenia i detale
flooring strip;klepka;;[sound:quizlet-16914793091-front.mp3];[sound:quizlet-16914793091-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075190_200115_1204_18.jpg'>;Wykończenia i detale
flue;przewód kominowy;;[sound:quizlet-16914793092-front.mp3];[sound:quizlet-16914793092-back.mp3];"<img src=""quizlet-DGege5aDcDA1nmbrwju5Tg.jpg"">";Instalacje techniczne
flute;żłobek (kanelura);;[sound:quizlet-16914793093-front.mp3];[sound:quizlet-16914793093-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075191_191228_1555_10.jpg'>;Style, ornamenty, sztuka i historia
flying buttress;łuk przyporowy;;[sound:quizlet-16914793094-front.mp3];[sound:quizlet-16914793094-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075192_191229_1745_17.jpg'>;Elementy konstrukcyjne
folding door;drzwi składane;;[sound:quizlet-16914793095-front.mp3];[sound:quizlet-16914793095-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075193_200219_2005_29.jpg'><img src='architektura-i-budownictwo-po-angielsku_2243187c_236075193_200115_1145_54.jpg'>;Wykończenia i detale
footbridge;kładka;;[sound:quizlet-16914793096-front.mp3];[sound:quizlet-16914793096-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075194_200114_1641_30.jpg'>;Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
footing;podstawa fundamentowa;;[sound:quizlet-16914793097-front.mp3];[sound:quizlet-16914793097-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075195_200115_1253_07.jpg'>;Elementy konstrukcyjne
force;siła;;[sound:quizlet-16914793098-front.mp3];[sound:quizlet-16914793098-back.mp3];"<img src=""quizlet-FXOq0JiG.6io8AK1Daz6SQ.jpg"">";Elementy konstrukcyjne
foreman;majster;;[sound:quizlet-16914793099-front.mp3];[sound:quizlet-16914793099-back.mp3];"<img src=""quizlet-HU6xMahM0q9XcrM1bruLpA.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
fork-lift truck;wózek widłowy;Synonimy: forklift;[sound:quizlet-16914793100-front.mp3];[sound:quizlet-16914793100-back.mp3];"<img src=""quizlet-NQetPK-IQsD7R1sPkA7sRQ.jpg"">";Narzędzia i sprzęt
formeret;żebra przyścienne;;[sound:quizlet-16914793101-front.mp3];[sound:quizlet-16914793101-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075196_200114_1555_23.jpg'>;Elementy konstrukcyjne
fortification;fortyfikacja;;[sound:quizlet-16914793102-front.mp3];[sound:quizlet-16914793102-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075197_200114_1618_23.jpg'>;Budynki
fortified wall;mur obronny;;[sound:quizlet-16914793103-front.mp3];[sound:quizlet-16914793103-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075198_191229_1727_59.jpg'>;Budynki
fountain for ritual ablutions;fontanna i basen do ablucji;;[sound:quizlet-16914793104-front.mp3];[sound:quizlet-16914793104-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075199_191229_1728_44.jpg'>;Budynki
foyer;foyer;;[sound:quizlet-16914793105-front.mp3];[sound:quizlet-16914793105-back.mp3];"<img src=""quizlet-Bq4mXDLXIJaTnURNIfCvZQ.jpg"">";Budynki
fraction;frakcja;;[sound:quizlet-16914793106-front.mp3];[sound:quizlet-16914793106-back.mp3];"<img src=""quizlet-xY8XlZPLTaZMHJ8LxB7mWw.jpg"">";Pomiar i jednostki
fracture;pęknięcie;Synonimy: rupture, crack;[sound:quizlet-16914793107-front.mp3];[sound:quizlet-16914793107-back.mp3];"<img src=""quizlet-c5aqyV31j2RckbmqyLV1ow.jpg"">";Elementy konstrukcyjne
frame;szkielet budynku;;[sound:quizlet-16914793108-front.mp3];[sound:quizlet-16914793108-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075201_200115_1303_00.jpg'>;Elementy konstrukcyjne
freestanding;wolnostojący;;[sound:quizlet-16914793109-front.mp3];[sound:quizlet-16914793109-back.mp3];"<img src=""quizlet-WISkDa7gyaVvUygrFGV5fQ.jpg"">";Elementy konstrukcyjne
freight elevator;winda towarowa;;[sound:quizlet-16914793110-front.mp3];[sound:quizlet-16914793110-back.mp3];"<img src=""quizlet-h22HSZB2lZBQMstCefkflQ.png"">";Wyposażenie i wnętrza
frequency;częstotliwość;;[sound:quizlet-16914793111-front.mp3];[sound:quizlet-16914793111-back.mp3];"<img src=""quizlet-O0Le2JZKWdIlgK-iRf-VEw.jpg"">";Pomiar i jednostki
fresco;fresk;;[sound:quizlet-16914793112-front.mp3];[sound:quizlet-16914793112-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214376023_191229_1715_24.jpg'>;Style, ornamenty, sztuka i historia
fresh-air filter;filtr świeżego powietrza;;[sound:quizlet-16914793113-front.mp3];[sound:quizlet-16914793113-back.mp3];"<img src=""quizlet-4J-2GS.UieAiP2175rI3zQ.png"">";Instalacje techniczne
fretsaw;wyrzynarka;;[sound:quizlet-16914793114-front.mp3];[sound:quizlet-16914793114-back.mp3];"<img src=""quizlet-kqJ3a5M42DxzbyuiHDP99w.jpg"">";Narzędzia i sprzęt
friction;tarcie;;[sound:quizlet-16914793115-front.mp3];[sound:quizlet-16914793115-back.mp3];"<img src=""quizlet-jlYkWpGsSSGNOKitOvI_bA.jpg"">";Elementy konstrukcyjne
frieze;fryz;;[sound:quizlet-16914793116-front.mp3];[sound:quizlet-16914793116-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075202_191229_1709_05.jpg'>;Style, ornamenty, sztuka i historia
front elevation;fasada;Synonimy: front;[sound:quizlet-16914793117-front.mp3];[sound:quizlet-16914793117-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075203_200115_1305_40.jpg'>;Elementy konstrukcyjne
frost resistant;mrozoodporny;;[sound:quizlet-16914793118-front.mp3];[sound:quizlet-16914793118-back.mp3];"<img src=""quizlet-jF9S-TyVUA4odpMa1ZzL1Q.jpg"">";Materiały budowlane
fume;opar;;[sound:quizlet-16914793119-front.mp3];[sound:quizlet-16914793119-back.mp3];"<img src=""quizlet-hwG4yfYwKMSWSqXRCOKyZw.jpg"">";Materiały budowlane
furnace;piec;;[sound:quizlet-16914793120-front.mp3];[sound:quizlet-16914793120-back.mp3];"<img src=""quizlet-UXj8IXiob5HtZULncfYE3g.jpg"">";Instalacje techniczne
fuse board;tablica bezpieczników;;[sound:quizlet-16914793121-front.mp3];[sound:quizlet-16914793121-back.mp3];"<img src=""quizlet-A8xjjOhYT33LDRplaYlhOg.jpg"">";Instalacje techniczne
gable;wimperga/szczyt;;[sound:quizlet-16914793122-front.mp3];[sound:quizlet-16914793122-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075268_191229_1745_32.jpg'>;Elementy konstrukcyjne
gable and valley roof;skrzyżowanie dwuspadowe;;[sound:quizlet-16914793123-front.mp3];[sound:quizlet-16914793123-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075269_200115_1358_49.jpg'>;Elementy konstrukcyjne
gable roof;dach dwuspadowy stromy;;[sound:quizlet-16914793124-front.mp3];[sound:quizlet-16914793124-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075270_200114_1646_59.jpg'>;Elementy konstrukcyjne
gable stud;słupek szczytowe;;[sound:quizlet-16914793125-front.mp3];[sound:quizlet-16914793125-back.mp3];"<img src=""quizlet-a.5aFlsiMIj3nCKMDkyQdA.jpg"">";Elementy konstrukcyjne
gallery;galeria;;[sound:quizlet-16914793126-front.mp3];[sound:quizlet-16914793126-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075272_191229_1744_31.jpg'>;Budynki
galvanise;elektryzować;Synonimy: electrify;[sound:quizlet-16914793127-front.mp3];[sound:quizlet-16914793127-back.mp3];"<img src=""quizlet-x51nLPkJaJ3vkrov4Q.7qQ.jpg"">";Instalacje techniczne
garage;garaż;;[sound:quizlet-16914793128-front.mp3];[sound:quizlet-16914793128-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075273_200115_1309_54.jpg'>;Budynki
garden;ogród;;[sound:quizlet-16914793129-front.mp3];[sound:quizlet-16914793129-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075274_191229_1723_41.jpg'>;Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
gasket;uszczelka;;[sound:quizlet-16914793130-front.mp3];[sound:quizlet-16914793130-back.mp3];"<img src=""quizlet--wf57.MKRFQ-9DyEBoy.xw.jpg"">";Elementy konstrukcyjne
gauge;wskaźnik;Synonimy: indicator, telltale, index;[sound:quizlet-16914793131-front.mp3];[sound:quizlet-16914793131-back.mp3];"<img src=""quizlet-G3L4xXa8DRrKcSZj1YQMLg.jpg"">";Narzędzia i sprzęt
Gaussian distribution;rozkład Gaussa;;[sound:quizlet-16914793132-front.mp3];[sound:quizlet-16914793132-back.mp3];"<img src=""quizlet-TJSRtqXmyCT7wY6XOkddyA.png"">";Pomiar i jednostki
gear;koło zębate;;[sound:quizlet-16914793133-front.mp3];[sound:quizlet-16914793133-back.mp3];"<img src=""quizlet-3LYuEEIKCitvwcrL2Lvvaw.jpg"">";Elementy konstrukcyjne
gilding;złocenie;;[sound:quizlet-16914793134-front.mp3];[sound:quizlet-16914793134-back.mp3];"<img src=""quizlet-RwFR5tgNaiThEsaMRprOMQ.jpg"">";Style, ornamenty, sztuka i historia
girder;dźwigar;;[sound:quizlet-16914793135-front.mp3];[sound:quizlet-16914793135-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214376073_200115_1255_59.jpg'>;Elementy konstrukcyjne
glacis;stok bojowy;;[sound:quizlet-16914793136-front.mp3];[sound:quizlet-16914793136-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075275_200114_1629_49.jpg'>;Budynki
glare;blask;Synonimy: shine, glamour, brilliance;[sound:quizlet-16914793137-front.mp3];[sound:quizlet-16914793137-back.mp3];"<img src=""quizlet-opvM83WWoohQP2mx1S2dfQ.jpg"">";Wyposażenie i wnętrza
glassed roof;szklany dach;;[sound:quizlet-16914793138-front.mp3];[sound:quizlet-16914793138-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075276_200115_1337_41.jpg'>;Elementy konstrukcyjne
glaze;glazura;;[sound:quizlet-16914793139-front.mp3];[sound:quizlet-16914793139-back.mp3];"<img src=""quizlet-LqaVO1JtGB-g0mVWHhLREA.jpg"">";Wykończenia i detale
glazier;szklarz;;[sound:quizlet-16914793140-front.mp3];[sound:quizlet-16914793140-back.mp3];"<img src=""quizlet-rljsXK1g7Jfp0zrJWfVe4w.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
gloss;połysk;Synonimy: shine,;[sound:quizlet-16914793141-front.mp3];[sound:quizlet-16914793141-back.mp3];"<img src=""quizlet-0vGq5VAOFxuuh3ayuxr3Nw.png"">";Wykończenia i detale
gorge;wąwóz;Synonimy: gully, ravine;[sound:quizlet-16914793142-front.mp3];[sound:quizlet-16914793142-back.mp3];"<img src=""quizlet-lsXo44-L5RDPg3ixy6USgA.jpg"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
gothic cathedral;katedra gotycka;;[sound:quizlet-16914793143-front.mp3];[sound:quizlet-16914793143-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075279_191229_1740_52.jpg'>;Style, ornamenty, sztuka i historia
gouge;wyżłobienie;;[sound:quizlet-16914793144-front.mp3];[sound:quizlet-16914793144-back.mp3];"<img src=""quizlet-aXOVHr.XWJqUDFjUAq3YIg.jpg"">";Elementy konstrukcyjne
grab rail;poręcz;Synonimy: handrail, rail;[sound:quizlet-16914793145-front.mp3];[sound:quizlet-16914793145-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214376081_200115_1158_25.jpg'>;Wykończenia i detale
grader;równiarka;;[sound:quizlet-16914793146-front.mp3];[sound:quizlet-16914793146-back.mp3];"<img src=""quizlet-IcVQtIQd15Zjlz1065wfDA.jpg"">";Narzędzia i sprzęt
grading;cieniowanie;Synonimy: shading;[sound:quizlet-16914793147-front.mp3];[sound:quizlet-16914793147-back.mp3];"<img src=""quizlet-ifcYS.3.9rKgCpjo-VYOWA.jpg"">";Wykończenia i detale
grain;ziarno;;[sound:quizlet-16914793148-front.mp3];[sound:quizlet-16914793148-back.mp3];"<img src=""quizlet--7jOpbVJft8e.xcUxnZ8Og.jpg"">";Materiały budowlane
graining;ziarnowanie;;[sound:quizlet-16914793149-front.mp3];[sound:quizlet-16914793149-back.mp3];"<img src=""quizlet-bzmlYOtSnWXRZr0bhQakww.png"">";Wykończenia i detale
granary;spichlerz;Synonimy: garner;[sound:quizlet-16914793150-front.mp3];[sound:quizlet-16914793150-back.mp3];"<img src=""quizlet-EnNE0VHRWenTsQQNQ4dQUQ.jpg"">";Budynki
graph;wykres;Synonimy: chart, diagram;[sound:quizlet-16914793151-front.mp3];[sound:quizlet-16914793151-back.mp3];"<img src=""quizlet-ePhctjvYNjLlAjoECU31bA.jpg"">";Rysunek techniczny i wizualizacja
gravel;żwir;;[sound:quizlet-16914793152-front.mp3];[sound:quizlet-16914793152-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075280_200115_1252_18.jpg'>;Materiały budowlane
gravitation;grawitacja;;[sound:quizlet-16914793153-front.mp3];[sound:quizlet-16914793153-back.mp3];"<img src=""quizlet-T85RV2a7MHYkU-zmLMX1sQ.jpg"">";Elementy konstrukcyjne
Greek temple;świątynia grecka;;[sound:quizlet-16914793154-front.mp3];[sound:quizlet-16914793154-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075281_191228_1603_50.jpg'>;Style, ornamenty, sztuka i historia
green space;skwer;Synonimy: square;[sound:quizlet-16914793155-front.mp3];[sound:quizlet-16914793155-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075282_200115_1356_34.jpg'>;Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
greenhouse;szklarnia;;[sound:quizlet-16914793156-front.mp3];[sound:quizlet-16914793156-back.mp3];"<img src=""quizlet-G3UrrVS1KGuJdaWZn11XAQ.jpg"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
greenhouse effect;efekt cieplarniany;;[sound:quizlet-16914793157-front.mp3];[sound:quizlet-16914793157-back.mp3];"<img src=""quizlet-pMfPGuBetHGJL0r0xMontA.jpg"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
grillage;ruszt;Synonimy: grate, grid, grille;[sound:quizlet-16914793158-front.mp3];[sound:quizlet-16914793158-back.mp3];"<img src=""quizlet-PlxsKDbYaU69t0xwlU2Rbg.png"">";Elementy konstrukcyjne
grille;krata;Synonimy: lattice;[sound:quizlet-16914793159-front.mp3];[sound:quizlet-16914793159-back.mp3];"<img src=""quizlet-DWDJ6BM46ZpOtzslap56yQ.jpg"">";Wykończenia i detale
grille;wejście do pronaosu;;[sound:quizlet-16914793160-front.mp3];[sound:quizlet-16914793160-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075283_191229_1713_31.jpg'>;Budynki
grinder;szlifierka;Synonimy: sander;[sound:quizlet-16914793161-front.mp3];[sound:quizlet-16914793161-back.mp3];"<img src=""quizlet-bs5GhHVtIYrm3XTJVvfGzQ.jpg"">";Narzędzia i sprzęt
grinding;szlifowanie;Synonimy: sanding;[sound:quizlet-16914793162-front.mp3];[sound:quizlet-16914793162-back.mp3];"<img src=""quizlet-Pc.cK7R2TLDsmUyV.lPMDg.jpg"">";Proces budowlany
grit;piasek;Synonimy: sand;[sound:quizlet-16914793163-front.mp3];[sound:quizlet-16914793163-back.mp3];"<img src=""quizlet-zqZyCpuEFEUFgYE0rfGlyg.jpg"">";Materiały budowlane
groove;rowek;;[sound:quizlet-16914793164-front.mp3];[sound:quizlet-16914793164-back.mp3];"<img src=""quizlet-R9oGnBdwSrdEt5Sg5AZTAA.jpg"">";Elementy konstrukcyjne
ground floor;parter;Synonimy: ground level;[sound:quizlet-16914793165-front.mp3];[sound:quizlet-16914793165-back.mp3];"<img src=""quizlet-6WRe7jniHFRk1if.5ZlwEw.jpg"">";Budynki
ground level;poziom ziemi;;[sound:quizlet-16914793167-front.mp3];[sound:quizlet-16914793167-back.mp3];"<img src=""quizlet-636vPX0loN1xaPKQ0iAJig.jpg"">";Pomiar i jednostki
ground sill;grodza;;[sound:quizlet-16914793168-front.mp3];[sound:quizlet-16914793168-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075284_200114_1631_17.jpg'>;Elementy konstrukcyjne
groundwater;wody gruntowe;;[sound:quizlet-16914793169-front.mp3];[sound:quizlet-16914793169-back.mp3];"<img src=""quizlet-4YZMvdlDv4RRuuNjhRZW-g.jpg"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
grout;fugi;;[sound:quizlet-16914793170-front.mp3];[sound:quizlet-16914793170-back.mp3];"<img src=""quizlet-ofqbkbzKHg-PjA9VCsdIMg.jpg"">";Wykończenia i detale
guardhouse;wartownia;;[sound:quizlet-16914793171-front.mp3];[sound:quizlet-16914793171-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075285_200114_1631_03.jpg'>;Budynki
guillotine;gilotyna;;[sound:quizlet-16914793172-front.mp3];[sound:quizlet-16914793172-back.mp3];"<img src=""quizlet-0L62aNbDmz4bj4pIUQi7RQ.jpg"">";Narzędzia i sprzęt
gutta;łezki;;[sound:quizlet-16914793173-front.mp3];[sound:quizlet-16914793173-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075286_191228_1558_56.jpg'>;Style, ornamenty, sztuka i historia
gutter;rynna;;[sound:quizlet-16914793174-front.mp3];[sound:quizlet-16914793174-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214376104_200115_1304_55.jpg'>;Elementy konstrukcyjne
gypsum;gips;Synonimy: plaster;[sound:quizlet-16914793175-front.mp3];[sound:quizlet-16914793175-back.mp3];"<img src=""quizlet-07iSnODnc7Hg-vgd2GsRHw.jpg"">";Materiały budowlane
gypsum plaster;tynk gipsowy;;[sound:quizlet-16914793176-front.mp3];[sound:quizlet-16914793176-back.mp3];"<img src=""quizlet-eyiHn5W1xfyA4GlAIwOyfA.jpg"">";Wykończenia i detale
hacksaw;piła do metalu;;[sound:quizlet-16914793177-front.mp3];[sound:quizlet-16914793177-back.mp3];"<img src=""quizlet-wntAUj3wXE9ldyqdL-UXCg.jpg"">";Narzędzia i sprzęt
hallway;korytarz;Synonimy: corridor;[sound:quizlet-16914793178-front.mp3];[sound:quizlet-16914793178-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077301_200115_1315_00.jpg'>;Wyposażenie i wnętrza
hammer;młot;;[sound:quizlet-16914793179-front.mp3];[sound:quizlet-16914793179-back.mp3];"<img src=""quizlet-T8HqhDA46huAS7oaWt1PWg.jpg"">";Narzędzia i sprzęt
hand drill;wiertarka ręczna;;[sound:quizlet-16914793180-front.mp3];[sound:quizlet-16914793180-back.mp3];"<img src=""quizlet-DYeSHiPbQ8zOQVq9wydh9g.jpg"">";Narzędzia i sprzęt
handwheel;pokrętło ręczne;;[sound:quizlet-16914793181-front.mp3];[sound:quizlet-16914793181-back.mp3];"<img src=""quizlet-ZU61NZ0G3EOqak8Ufz59pA.jpg"">";Narzędzia i sprzęt
hang;powiesić;;[sound:quizlet-16914793182-front.mp3];[sound:quizlet-16914793182-back.mp3];"<img src=""quizlet-w83gPMHpZDa17W9qL6rl2g.jpg"">";Proces budowlany
hanger;wieszak;;[sound:quizlet-16914793183-front.mp3];[sound:quizlet-16914793183-back.mp3];"<img src=""quizlet-OKQKYrLFgq17WBbn-kF1QQ.jpg"">";Wyposażenie i wnętrza
hanging;wiszące;;[sound:quizlet-16914793184-front.mp3];[sound:quizlet-16914793184-back.mp3];"<img src=""quizlet-9QpZEd8rsy5YvshL_wF3qA.jpg"">";Elementy konstrukcyjne
hanging stile;ramiak pionowy z zawiasami;;[sound:quizlet-16914793185-front.mp3];[sound:quizlet-16914793185-back.mp3];"<img src=""quizlet-ANFbg-2n7rAyMARJl5gsXg.png"">";Wykończenia i detale
harbour;port;;[sound:quizlet-16914793186-front.mp3];[sound:quizlet-16914793186-back.mp3];"<img src=""quizlet-EG2moG5hl8WjT5Q6Tg6m2A.jpg"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
hardener;utwardzacz;;[sound:quizlet-16914793187-front.mp3];[sound:quizlet-16914793187-back.mp3];"<img src=""quizlet-5C6smS.EfHOXkFZ2jBITyA.jpg"">";Materiały budowlane
hardening;hartowanie;;[sound:quizlet-16914793188-front.mp3];[sound:quizlet-16914793188-back.mp3];"<img src=""quizlet-3-xT.CL5G3QatssyOjfe3g.jpg"">";Materiały budowlane
hardness;twardość;Synonimy: toughness, stiffness;[sound:quizlet-16914793189-front.mp3];[sound:quizlet-16914793189-back.mp3];"<img src=""quizlet-tNUhCCGUkU-k5uUNveLgWQ.jpg"">";Materiały budowlane
head of frame;część pozioma ościeżnicy;;[sound:quizlet-16914793190-front.mp3];[sound:quizlet-16914793190-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077303_200115_1143_45.jpg'>;Wykończenia i detale
heating;ogrzewanie;;[sound:quizlet-16914793191-front.mp3];[sound:quizlet-16914793191-back.mp3];"<img src=""quizlet-QZ9E7PE2MIFS6.o7jNEtow.jpg"">";Instalacje techniczne
helix;spirala;Synonimy: spiral;[sound:quizlet-16914793192-front.mp3];[sound:quizlet-16914793192-back.mp3];"<img src=""helix.png"">";Elementy konstrukcyjne
helm roof;hełm ostrosłupowy;;[sound:quizlet-16914793193-front.mp3];[sound:quizlet-16914793193-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077304_200115_1359_29.jpg'>;Elementy konstrukcyjne
herringbone parquet;parkiet jodełkowy;;[sound:quizlet-16914793194-front.mp3];[sound:quizlet-16914793194-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077305_200115_1203_02.jpg'>;Wykończenia i detale
high rise block;blok mieszkalny;Synonimy: high rise apartment, block of flats;[sound:quizlet-16914793195-front.mp3];[sound:quizlet-16914793195-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077306_200115_1351_23.jpg'>;Budynki
hinge;zawias;;[sound:quizlet-16914793196-front.mp3];[sound:quizlet-16914793196-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214376239_200115_1151_26.jpg'>;Wykończenia i detale
hip roof;dach czterospadowy;;[sound:quizlet-16914793197-front.mp3];[sound:quizlet-16914793197-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077307_200114_1647_12.jpg'>;Elementy konstrukcyjne
hod;taczka;Synonimy: wheelbarrow;[sound:quizlet-16914793198-front.mp3];[sound:quizlet-16914793198-back.mp3];"<img src=""brick hod.jpg""><img src=""hod.jpg"">";Narzędzia i sprzęt
hoist;wciągnik;;[sound:quizlet-16914793199-front.mp3];[sound:quizlet-16914793199-back.mp3];"<img src=""quizlet-vG3abPIyjXrveRr4Q7VMiw.jpg"">";Narzędzia i sprzęt
hollow;wydrążony;;[sound:quizlet-16914793200-front.mp3];[sound:quizlet-16914793200-back.mp3];"<img src=""quizlet-WnJo4mXvncae.mhgZO.ymA.jpg"">";Elementy konstrukcyjne
homogeneous;jednorodny;;[sound:quizlet-16914797750-front.mp3];[sound:quizlet-16914797750-back.mp3];"<img src=""quizlet-5uKMHGOJ2zoVUnt1ERZNsQ.jpg"">";Materiały budowlane
hook;haczyk;;[sound:quizlet-16914797751-front.mp3];[sound:quizlet-16914797751-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077308_200115_1142_04.jpg'>;Elementy konstrukcyjne
horizontal pivoting window;okno uchylne;;[sound:quizlet-16914797752-front.mp3];[sound:quizlet-16914797752-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077309_200115_1140_04.jpg'>;Wykończenia i detale
horseshoe;(łuk) podkowiasty;;[sound:quizlet-16914797753-front.mp3];[sound:quizlet-16914797753-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077310_191229_1738_12.jpg'>;Elementy konstrukcyjne
hotel;hotel;;[sound:quizlet-16914797754-front.mp3];[sound:quizlet-16914797754-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077311_200115_1353_41.jpg'>;Budynki
house;dom;;[sound:quizlet-16914797755-front.mp3];[sound:quizlet-16914797755-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077312_200115_1333_58.jpg'>;Budynki
hovel;rudera;;[sound:quizlet-16914797756-front.mp3];[sound:quizlet-16914797756-back.mp3];"<img src=""quizlet-BBH5IUxyaYNk9fvGmfNDTA.jpg"">";Budynki
