absorption tube;a tube filled with a solid absorbent and used to absorb gases and vapors
symbol;a letter, figure, or other character or mark or a combination of letters or the like used to designate something
synthesis gas;a fuel gas mixture consisting primarily of hydrogen, carbon monoxide, and very often some carbon dioxide
technology;the collection of techniques, skills, methods, and processes used in the production of goods or services or in the accomplishment of objectives, such as scientific investigation
copolymer;a chemical compound of high molecular weight produced by polymerizing two or more different monomers together
polycarbonate;a synthetic thermoplastic resin, a linear polymer of carbonic acid, used for molded products, films, and non-breakable windows
polychloroprene;a family of synthetic rubbers that are produced by polymerization of chloroprene
polycondensation;formation of a polymer by chemical condensation with the elimination of a small molecule, such as water
polyelectrolyte;an electrolyte of high molecular weight, usually polymeric, either natural or synthetic
polyester;a polymer in which the monomer units are linked together by the group –COO–, usually formed by polymerizing a polyhydric alcohol with a polybasic acid
polyethylene;a plastic polymer of ethylene used chiefly for containers, electrical insulation, and packaging
polyethylene glycols;any of a series of polymers of ethylene glycol, having a molecular weight of from about 200 to 6000, obtained by condensation of ethylene glycol or of ethylene oxide and water, used as an emulsifying agent and lubricant in ointments, creams, etc
polyhydric alcohol;a organic compounds, typically derived from sugars, that comprise a class of polyols
polyisoprene;a polymer of isoprene occurring naturally in rubber and gutta-percha 
polymer; a large molecule, or macromolecule, composed of many repeated subunits
polymerization;a process of reacting monomer molecules together in a chemical reaction to form polymer chains or three-dimensional networks
polypropylene;a plastic polymer of propylene, (C3H5) n, used chiefly for molded parts, electrical insulation, packaging, and fibers for wearing apparel
polystyrene;a clear plastic or stiff foam, a polymer of styrene, used chiefly as an insulator in refrigerators and air conditioners
adhesive;a substance used for sticking objects or materials together
amphoteric;a molecule or ion that can react both as an acid as well as a base
aqueous;watery
colligative properties;properties of solutions that depend on the ratio of the number of solute particles to the number of solvent molecules in a solution
electrovalence;the number of positive or negative charges acquired by an atom by the loss or gain of electrons
hygroscopic;absorbing or attracting moisture from the air
immiscible;incapable of being mixed
impermeable;not permitting the passage of a fluid through the pores, interstices, etc
non-flammable;not combustible or easily set on fire
isotropic;identical in all directions
molecular;of or relating to or caused by molecules
miscible;capable of being mixed
plastic;capable of being molded or modeled
property;an essential or distinctive attribute or quality of a thing
radioactivity;the phenomenon, exhibited by and being a property of certain elements, of spontaneously emitting radiation resulting from changes in the nuclei of atoms of the element
semi-permeability;permeable only to certain small molecules
semisynthetic;derived synthetically from one or more substances of natural origin
thermoplastic;soft and pliable when heated, as some plastics, without any change of the inherent properties
vitreous;obtained from or containing glass
viscosity;the quality or state of being viscous
weak acid;an acid that is partially dissociated into its ions in an aqueous solution or water
weak base;a chemical base that does not ionize fully in an aqueous solution
solubility;the amount of a substance that will dissolve in a given amount of another substance
density;"the state or quality of being dense; compactness; closely set or crowded condition"
inflammable, incendiary;capable of being set on fire
toxicity;the quality, relative degree, or specific degree of being toxic or poisonous
ductility;a measure of a material's ability to undergo significant plastic deformation before rupture
reactivity;the relative capacity of an atom, molecule, or radical to undergo a chemical reaction with another atom, molecule, or compound
Avogadro constant;the constant, 6.022 × 10^23, representing the number of atoms, molecules, or ions in one mole of a substance
Boyle's law;an experimental gas law that describes how the pressure of a gas tends to increase as the volume of the container decreases
centimeter;one 100th of a meter, equivalent to 0.3937 inch
centi;a combining form meaning “hundredth” or “hundred,” used in the formation of compound words
Celsius scale;a temperature scale used by the International System of Units (SI)
cubic centimeter;a commonly used unit of volume that extends the derived SI-unit cubic meter, and corresponds to the volume of a cube that measures 1 cm × 1 cm × 1 cm
dot diagram;a diagram that show the bonding between atoms of a molecule and the lone pairs of electrons that may exist in the molecule
equilibrium constant;a measure of the strength of the interaction between the reagents that come together to form the complex
gram;one thousandth of a kilogram
hertz;the standard unit of frequency in the International System of Units (SI), equal to one cycle per second
hardness;the state or quality of being hard
kinetic theory;a theory of gases postulating that they consist of particles of negligible size moving at random and undergoing elastic collisions 
Kelvin scale;an absolute thermodynamic temperature scale using as its null point absolute zero
joule;the standard unit of work or energy in the International System of Units (SI), equal to the work done by a force of one newton when its point of application moves through a distance of one meter in the direction of the force
isotonic;noting or pertaining to solutions characterized by equal osmotic pressure
ionization constant;the minimum energy that must be provided to detach an electron from the atom of a given element or molecule
Law of Conservation of Mass;the principle that in any closed system subjected to no external forces, the mass is constant irrespective of its changes in form
liter;an SI accepted metric system unit of volume equal to 1 cubic decimeter (dm3), 1,000 cubic centimeter (cm3) or 1/1,000 cubic meter
mass number;the integer nearest in value to the atomic weight of an atom and equal to the number of nucleons in the nucleus of the atom
Nernst equation;an equation that relates the reduction potential of an electrochemical reaction to the standard electrode potential, temperature, reduction and oxidation
molecular mass;the mass of a molecule
molarity;the number of moles of solute per liter of solution
molar volume;the volume occupied by one mole of a gas, liquid, or solid
molality;a measure of the concentration of a solute in a solution in terms of amount of substance in a specified amount of mass of the solvent
milliliter;a unit of capacity equal to one thousandth of a liter, and equivalent to 0.033815 fluid ounce, or 0.061025 cubic inch
milli;in the metric system, used in the names of units equal to one thousandth of the given base unit
Pascal;the standard unit of pressure or stress in the International System of Units (SI), equal to one newton per square meter
physical property;any property that is measurable, whose value describes a state of a physical system
radius;a straight line extending from the center of a circle or sphere to the circumference or surface
solubility curve;a graphic representation of the variation with changing temperature of the solubility of a given substance in a given solvent
solubility product constant ;a type of dynamic equilibrium that exists when a chemical compound in the solid state is in chemical equilibrium with a solution of that compound
stability constant;an equilibrium constant for the formation of a complex in solution
standard condition;the standard sets of conditions for measurements 
standard electrode potential;the measure of individual potential of a reversible electrode at standard state, which is with solutes at an effective concentration of 1 mol dm−3, and gases at a pressure of 1 atm
standard solution;a solution of known concentration, used as a standard of comparison or analysis
temperature;a measure of the warmth or coldness of an object or substance with reference to some standard value
volume;the amount of space, measured in cubic units, that an object or substance occupies
volt;the derived unit for electric potential, electric potential difference (voltage), and electromotive force
velocity of light;a universal physical constant important in many areas of physics
velocity;"rapidity of motion or operation; swiftness; speed"
vapor pressure;the pressure exerted by the molecules of a vapor, especially that part of the total pressure exerted by vapor in a mixture of gases, as by water vapor in air
Van't Hoff equation;an impact of the change in the equilibrium constant, of a chemical reaction to the change in temperature, given the standard enthalpy change
Van der Waals force;a distance-dependent interactions between atoms or molecules
unit;"any magnitude regarded as an independent whole; a single, indivisible entity"
uncertainty principle ;any of a variety of mathematical inequalities asserting a fundamental limit to the precision with which certain pairs of physical properties of a particle can be known
wave length;the distance over which the wave's shape repeats
wave velocity;a distance traversed by a periodic, or cyclic, motion per unit time (in any direction)
weight ;"the amount or quantity of heaviness or mass; amount a thing weighs"
